Makale_ID,Baslik,Kategori,Kaynak,Yil,Temizlenmis_Icerik,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Stemmed_Tokenlar
TR011,Türk Yapay Zeka Girişimi Dünya Devleriyle Yarışıyor,Teknoloji,Hurriyet,2024,İstanbul merkezli yapay zeka şirketi geliştirdiği dil modeliyle uluslararası arenada büyük ilgi görüyor Şirket son altı ayda milyon dolar yatırım aldı Kurucu ortaklar Türkiye nin teknoloji üssüne dönüşeceğini öngörüyor,"İstanbul merkezli yapay zeka şirketi, geliştirdiği dil modeliyle uluslararası arenada büyük ilgi görüyor. | Şirket son altı ayda 50 milyon dolar yatırım aldı. | Kurucu ortaklar, Türkiye'nin teknoloji üssüne dönüşeceğini öngörüyor.",29,istanbul merkezli yapay zeka şirketi geliştirdiği dil modeliyle uluslararası arenada ilgi görüyor şirket son altı ayda milyon dolar yatırım aldı kurucu ortaklar türkiye teknoloji üssüne dönüşeceğini öngörüyor,istanbul merkezli yapay zeka şirket geliştirdik dil model uluslararas arena ilgi görüyor şirket son al ay milyo do yatır al kuruç ortak türki teknoloj üss dönüşecek öngörüyor
TR012,Akıllı Telefon Kullanımı Türkiye'de Zirveye Ulaştı,Teknoloji,Sabah,2024,TÜBİTAK araştırmasına göre Türkiye de akıllı telefon kullanıcısı sayısı milyona ulaştı Gençler günde ortalama saat ekran başında zaman geçiriyor Uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor,TÜBİTAK araştırmasına göre Türkiye'de akıllı telefon kullanıcısı sayısı 70 milyona ulaştı. | Gençler günde ortalama 6 saat ekran başında zaman geçiriyor. | Uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor.,28,tübitak araştırmasına türkiye akıllı telefon kullanıcısı sayısı milyona ulaştı gençler günde ortalama saat ekran başında zaman geçiriyor uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor,tübitak araştırma türki akıllı telefo kullanıcıs sayıs milyo ulaş genç g ortala saat ekra baş zama geçiriyor uzman aşır ekra süre sağlık üzer olumsuz etki vurguluyor
TR013,TOGG Üretimde Yeni Hedefler Belirledi,Teknoloji,Milliyet,2024,Türkiye nin yerli otomobili TOGG yılı için üretim hedefini araç olarak belirledi Fabrika kapasitesini artırmak için yeni yatırımlar yapılıyor Yurt dışı satışlar için Avrupa pazarına giriş planları da hazırlandı,"Türkiye'nin yerli otomobili TOGG, 2024 yılı için üretim hedefini 30.000 araç olarak belirledi. | Fabrika kapasitesini artırmak için yeni yatırımlar yapılıyor. | Yurt dışı satışlar için Avrupa pazarına giriş planları da hazırlandı.",29,türkiye yerli otomobili togg yılı üretim hedefini araç belirledi fabrika kapasitesini artırmak yatırımlar yapılıyor yurt dışı satışlar avrupa pazarına giriş planları hazırlandı,türki yerli otomobil togg yıl üret hedef araç belirledi fabrik kapasite artırmak yatırım yapılıyor yurt dış satış avrup pazar giriş plan hazırla
TR014,Siber Güvenlikte Türk Firmalar Öne Çıkıyor,Teknoloji,Hurriyet,2024,Türk siber güvenlik şirketleri uluslararası pazarda güçlü bir yer edindi NATO güvenlik testlerinde Türk yazılımları üst sıralarda yer aldı Savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor,Türk siber güvenlik şirketleri uluslararası pazarda güçlü bir yer edindi. | NATO güvenlik testlerinde Türk yazılımları üst sıralarda yer aldı. | Savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor.,26,türk siber güvenlik şirketleri uluslararası pazarda güçlü yer edindi nato güvenlik testlerinde türk yazılımları üst sıralarda yer aldı savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor,türk siber güvenlik şirket uluslararas pazar güçlü yer edi nato güvenlik test türk yazılım üst sıra yer al savunma sanayii entegrasyo saye sektör hız büyüyor
TR015,5G Altyapısı Büyük Şehirlere Yayılıyor,Teknoloji,Sabah,2024,Bilgi Teknolojileri ve İletişim Kurumu açıklamasına göre G teknolojisi bu yıl sonuna kadar Ankara İstanbul ve İzmir de hayata geçirilecek Türk Telekom ve Turkcell frekans tahsisi için rekabet ediyor Uzmanlar G nin ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor,"Bilgi Teknolojileri ve İletişim Kurumu açıklamasına göre 5G teknolojisi bu yıl sonuna kadar Ankara, İstanbul ve İzmir'de hayata geçirilecek. | Türk Telekom ve Turkcell frekans tahsisi için rekabet ediyor. | Uzmanlar 5G'nin ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor.",37,bilgi teknolojileri iletişim kurumu açıklamasına teknolojisi yıl sonuna ankara istanbul izmir hayata geçirilecek türk telekom turkcell frekans tahsisi rekabet ediyor uzmanlar ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor,bilgi teknoloji iletiş kur açıklama teknolojis yıl son ankar istanbul izmir haya geçirilecek türk teleko turkcell frekans tahsis rekabet ediyor uzman ekonomi katkı milyar do olacak tahm ediyor
TR016,Sağlık Bakanlığı Yeni Kampanya Başlattı,Sağlık,Milliyet,2024,Türkiye Sağlık Bakanlığı sigara kullanımını azaltmak amacıyla kapsamlı bir farkındalık kampanyası başlattı Kampanya sosyal medya televizyon ve açık hava reklamlarını kapsıyor Hedef üç yılda sigara kullanımını yüzde düşürmek,"Türkiye Sağlık Bakanlığı, sigara kullanımını azaltmak amacıyla kapsamlı bir farkındalık kampanyası başlattı. | Kampanya sosyal medya, televizyon ve açık hava reklamlarını kapsıyor. | Hedef üç yılda sigara kullanımını yüzde 20 düşürmek.",28,türkiye sağlık bakanlığı sigara kullanımını azaltmak amacıyla kapsamlı farkındalık kampanyası başlattı kampanya sosyal medya televizyon açık hava reklamlarını kapsıyor hedef yılda sigara kullanımını yüzde düşürmek,türki sağlık bakanlık sigar kullanım azaltmak amaç kapsamlı farkındalık kampanyas başlat kampanya sosyal medya televizyo açık hav reklam kapsıyor hedef yıl sigar kullanım yüz düşürmek
TR017,Grip Salgını Tüm Türkiye'yi Etkiliyor,Sağlık,Hurriyet,2024,Kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı Sağlık Bakanlığı özellikle çocuklar ve yaşlılar için aşı yaptırılmasını tavsiye etti Yoğun bakım kapasitesi bazı şehirlerde zorlansa da durum kontrol altında,"Kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı. | Sağlık Bakanlığı, özellikle çocuklar ve yaşlılar için aşı yaptırılmasını tavsiye etti. | Yoğun bakım kapasitesi bazı şehirlerde zorlansa da durum kontrol altında.",30,kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı sağlık bakanlığı özellikle çocuklar yaşlılar aşı yaptırılmasını tavsiye etti yoğun bakım kapasitesi şehirlerde zorlansa durum kontrol,kış mevsim gelme birlik grip vaka cidi artış yaşa sağlık bakanlık özellik çocuk yaşlı aş yaptırılma tavsi et yok bak kapasites şehir zorla dur kontrol
TR018,Türkiye Kanser Araştırmasında Önemli Adım Attı,Sağlık,Sabah,2024,Hacettepe Üniversitesi araştırmacıları akciğer kanseri tedavisinde etkili yeni bir molekül keşfetti Çalışma uluslararası tıp dergisinde yayımlandı ve dünyadan büyük ilgi gördü Klinik denemeler önümüzdeki yıl başlayacak,"Hacettepe Üniversitesi araştırmacıları, akciğer kanseri tedavisinde etkili yeni bir molekül keşfetti. | Çalışma uluslararası tıp dergisinde yayımlandı ve dünyadan büyük ilgi gördü. | Klinik denemeler önümüzdeki yıl başlayacak.",26,hacettepe üniversitesi araştırmacıları akciğer kanseri tedavisinde etkili molekül keşfetti çalışma uluslararası tıp dergisinde yayımlandı dünyadan ilgi gördü klinik denemeler önümüzdeki yıl başlayacak,hacettep üniversites araştırmacı akciğer kanser tedavi etkil molekül keşfet çalışma uluslararas tıp dergi yayımla dünya ilgi gör klinik deneme ön yıl başlayacak
TR019,Doktor Açığı Kırsal Bölgeleri Etkiliyor,Sağlık,Milliyet,2023,Türkiye de kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor Hekimlerin büyük şehirleri tercih etmesi bu sorunu derinleştiriyor Sağlık Bakanlığı mecburi hizmet süresini uzatmayı planlıyor,"Türkiye'de kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor. | Hekimlerin büyük şehirleri tercih etmesi bu sorunu derinleştiriyor. | Sağlık Bakanlığı, mecburi hizmet süresini uzatmayı planlıyor.",27,türkiye kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor hekimlerin şehirleri tercih etmesi sorunu derinleştiriyor sağlık bakanlığı mecburi hizmet süresini uzatmayı planlıyor,türki kırsal bölge yaşaya vatandaş sağlık hizmet eriş cidi güçlük çekiyor hek şehir tercih etmes sor derinleştiriyor sağlık bakanlık mecbur hizmet süre uzatma planlıyor
TR020,Obezite Oranları Endişe Verici Boyuta Ulaştı,Sağlık,Hurriyet,2024,Dünya Sağlık Örgütü raporuna göre Türkiye de obezite oranı son on yılda yüzde arttı Özellikle çocuk obezitesi ciddi bir halk sağlığı sorunu olarak öne çıkıyor Uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor,Dünya Sağlık Örgütü raporuna göre Türkiye'de obezite oranı son on yılda yüzde 35 arttı. | Özellikle çocuk obezitesi ciddi bir halk sağlığı sorunu olarak öne çıkıyor. | Uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor.,32,dünya sağlık örgütü raporuna türkiye obezite oranı son yılda yüzde arttı özellikle çocuk obezitesi ciddi halk sağlığı sorunu öne çıkıyor uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor,dünya sağlık örgüt rapor türki obezi ora son yıl yüz arttı özellik çocuk obezites cidi halk sağlık sor ön çıkıyor uzman sağlıklı beslenme alışkanlık teşvik edilme öneriyor
TR021,YKS Başvuruları Başladı,Eğitim,Sabah,2024,Ölçme Seçme ve Yerleştirme Merkezi duyurusuna göre bu yıl Yükseköğretim Kurumları Sınavı için başvurular başladı milyonu aşkın öğrencinin sınava girmesi bekleniyor ÖSYM yetkilileri sınav tarihlerini ve yerlerini açıkladı,Ölçme Seçme ve Yerleştirme Merkezi duyurusuna göre bu yıl Yükseköğretim Kurumları Sınavı için başvurular başladı. | 3 milyonu aşkın öğrencinin sınava girmesi bekleniyor. | ÖSYM yetkilileri sınav tarihlerini ve yerlerini açıkladı.,28,ölçme seçme yerleştirme merkezi duyurusuna yıl yükseköğretim kurumları sınavı başvurular başladı milyonu aşkın öğrencinin sınava girmesi bekleniyor ösym yetkilileri sınav tarihlerini yerlerini açıkladı,ölçme seçme yerleştirme merkez duyuru yıl yükseköğret kurum sınav başvuru başladı milyo aşk öğrenci sınav girmes bekleniyor ösym yetkili sınav tarih yer açıkladı
TR022,Türkiye'de Üniversite Sayısı 220'yi Geçti,Eğitim,Milliyet,2023,Yükseköğretim Kurulu verilerine göre Türkiye de devlet ve vakıf üniversitelerinin toplam sayısı yi aştı Bu rakamla Türkiye Avrupa da en fazla üniversiteye sahip ülkeler arasına girdi Öğrenci kapasitesi de her geçen yıl artıyor,"Yükseköğretim Kurulu verilerine göre Türkiye'de devlet ve vakıf üniversitelerinin toplam sayısı 220'yi aştı. | Bu rakamla Türkiye, Avrupa'da en fazla üniversiteye sahip ülkeler arasına girdi. | Öğrenci kapasitesi de her geçen yıl artıyor.",33,yükseköğretim kurulu verilerine türkiye devlet vakıf üniversitelerinin toplam sayısı aştı rakamla türkiye avrupa fazla üniversiteye sahip ülkeler arasına girdi öğrenci kapasitesi yıl artıyor,yükseköğret kurul veri türki devlet vakıf üniversite topla sayıs aş raka türki avrup faz üniversite sahip ülke ara gir öğrenci kapasites yıl artıyor
TR023,STEM Eğitimine Yatırım Artıyor,Eğitim,Hurriyet,2024,Milli Eğitim Bakanlığı fen bilimleri matematik mühendislik ve teknoloji alanlarında eğitimi güçlendirmek için milyar liralık bütçe ayırdı Yeni laboratuvar ve teknoloji sınıfları kurulacak Hedef a kadar nitelikli STEM mezunu yetiştirmek,"Milli Eğitim Bakanlığı, fen bilimleri matematik mühendislik ve teknoloji alanlarında eğitimi güçlendirmek için 5 milyar liralık bütçe ayırdı. | Yeni laboratuvar ve teknoloji sınıfları kurulacak. | Hedef, 2030'a kadar 500.000 nitelikli STEM mezunu yetiştirmek.",29,milli eğitim bakanlığı fen bilimleri matematik mühendislik teknoloji alanlarında eğitimi güçlendirmek milyar liralık bütçe ayırdı laboratuvar teknoloji sınıfları kurulacak hedef nitelikli stem mezunu yetiştirmek,milli eğit bakanlık fen bilim matematik mühendislik teknoloj alan eğit güçlendirmek milyar liralık bütçe ayır laboratuvar teknoloj sınıf kurulacak hedef nitelikli stem mez yetiştirmek
TR024,Uzaktan Eğitim Platformları Popülaritesini Koruyor,Eğitim,Sabah,2024,COVID sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir Türkiye de çevrimiçi eğitim platformlarının kullanıcı sayısı geçen yıla kıyasla yüzde arttı Şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi,COVID-19 sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir. | Türkiye'de çevrimiçi eğitim platformlarının kullanıcı sayısı geçen yıla kıyasla yüzde 40 arttı. | Şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi.,26,covıd sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir türkiye çevrimiçi eğitim platformlarının kullanıcı sayısı yıla kıyasla yüzde arttı şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi,covıdı sonras döne başlaya uzak eğit alışkanlık sürmek türki çevrimiç eğit platform kullanıç sayıs yıl kıyas yüz arttı şirket çalışan dijital araç yetiştirme yönel
TR025,Okul Öncesi Eğitime Erişim Artıyor,Eğitim,Milliyet,2024,Milli Eğitim Bakanlığı raporuna göre okul öncesi eğitime erişim oranı Türkiye genelinde yüzde e yükseldi Kırsal bölgelerde ise bu oran yüzde düzeyinde seyrediyor Hedef yılı itibarıyla okullaşma oranını yüzde a çıkarmak,Milli Eğitim Bakanlığı raporuna göre okul öncesi eğitime erişim oranı Türkiye genelinde yüzde 78'e yükseldi. | Kırsal bölgelerde ise bu oran yüzde 60 düzeyinde seyrediyor. | Hedef 2025 yılı itibarıyla okullaşma oranını yüzde 90'a çıkarmak.,29,milli eğitim bakanlığı raporuna okul öncesi eğitime erişim oranı türkiye genelinde yüzde yükseldi kırsal bölgelerde oran yüzde düzeyinde seyrediyor hedef yılı itibarıyla okullaşma oranını yüzde çıkarmak,milli eğit bakanlık rapor okul önces eğit eriş ora türki genel yüz yüksel kırsal bölge ora yüz düzey seyrediyor hedef yıl itibar okullaşma oran yüz çıkarmak
TR026,Meclis'te Bütçe Görüşmeleri Başladı,Siyaset,Hurriyet,2023,Türkiye Büyük Millet Meclisi nde yılı merkezi yönetim bütçesi görüşmeleri bugün başladı Muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme ve istikrar vurgusunu ön plana çıkardı Görüşmelerin iki hafta sürmesi bekleniyor,Türkiye Büyük Millet Meclisi'nde 2024 yılı merkezi yönetim bütçesi görüşmeleri bugün başladı. | Muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme ve istikrar vurgusunu ön plana çıkardı. | Görüşmelerin iki hafta sürmesi bekleniyor.,32,türkiye millet meclisi nde yılı merkezi yönetim bütçesi görüşmeleri bugün başladı muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme istikrar vurgusunu plana çıkardı görüşmelerin iki hafta sürmesi bekleniyor,türki millet meclis nde yıl merkez yönet bütçes görüşme bugu başladı muhalefet parti bütçe gerçekçi olmadık savunur iktidar partis büy istikrar vurgu pla çıkar görüşme ik haf sürmes bekleniyor
TR027,Cumhurbaşkanı Afrika Ziyaretinden Döndü,Siyaset,Sabah,2024,Cumhurbaşkanı dört günlük Afrika turu kapsamında Etiyopya Nijerya ve Tanzanya yı ziyaret etti İkili ilişkiler ve ticaret anlaşmaları gündemin merkezini oluşturdu Ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı,"Cumhurbaşkanı, dört günlük Afrika turu kapsamında Etiyopya Nijerya ve Tanzanya'yı ziyaret etti. | İkili ilişkiler ve ticaret anlaşmaları gündemin merkezini oluşturdu. | Ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı.",27,cumhurbaşkanı dört günlük afrika turu kapsamında etiyopya nijerya tanzanya ziyaret etti ikili ilişkiler ticaret anlaşmaları gündemin merkezini oluşturdu ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı,cumhurbaşka dört günlük afrik tur kapsam etiyopya nijerya tanzanya ziyaret et ikil ilişki ticaret anlaşma günde merkez oluştur ziyaret kapsam çeşitli mutabakat muhtıra imzala
