Makale_ID,Baslik,Kategori,Kaynak,Yil,Icerik
TR017,Grip Salgını Tüm Türkiye'yi Etkiliyor,Sağlık,Hurriyet,2024,"Kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı. Sağlık Bakanlığı, özellikle çocuklar ve yaşlılar için aşı yaptırılmasını tavsiye etti. Yoğun bakım kapasitesi bazı şehirlerde zorlansa da durum kontrol altında."
TR018,Türkiye Kanser Araştırmasında Önemli Adım Attı,Sağlık,Sabah,2024,"Hacettepe Üniversitesi araştırmacıları, akciğer kanseri tedavisinde etkili yeni bir molekül keşfetti. Çalışma uluslararası tıp dergisinde yayımlandı ve dünyadan büyük ilgi gördü. Klinik denemeler önümüzdeki yıl başlayacak."
TR019,Doktor Açığı Kırsal Bölgeleri Etkiliyor,Sağlık,Milliyet,2023,"Türkiye'de kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor. Hekimlerin büyük şehirleri tercih etmesi bu sorunu derinleştiriyor. Sağlık Bakanlığı, mecburi hizmet süresini uzatmayı planlıyor."
TR020,Obezite Oranları Endişe Verici Boyuta Ulaştı,Sağlık,Hurriyet,2024,Dünya Sağlık Örgütü raporuna göre Türkiye'de obezite oranı son on yılda yüzde 35 arttı. Özellikle çocuk obezitesi ciddi bir halk sağlığı sorunu olarak öne çıkıyor. Uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor.
TR021,YKS Başvuruları Başladı,Eğitim,Sabah,2024,Ölçme Seçme ve Yerleştirme Merkezi duyurusuna göre bu yıl Yükseköğretim Kurumları Sınavı için başvurular başladı. 3 milyonu aşkın öğrencinin sınava girmesi bekleniyor. ÖSYM yetkilileri sınav tarihlerini ve yerlerini açıkladı.
TR022,Türkiye'de Üniversite Sayısı 220'yi Geçti,Eğitim,Milliyet,2023,"Yükseköğretim Kurulu verilerine göre Türkiye'de devlet ve vakıf üniversitelerinin toplam sayısı 220'yi aştı. Bu rakamla Türkiye, Avrupa'da en fazla üniversiteye sahip ülkeler arasına girdi. Öğrenci kapasitesi de her geçen yıl artıyor."
TR023,STEM Eğitimine Yatırım Artıyor,Eğitim,Hurriyet,2024,"Milli Eğitim Bakanlığı, fen bilimleri matematik mühendislik ve teknoloji alanlarında eğitimi güçlendirmek için 5 milyar liralık bütçe ayırdı. Yeni laboratuvar ve teknoloji sınıfları kurulacak. Hedef, 2030'a kadar 500.000 nitelikli STEM mezunu yetiştirmek."
TR024,Uzaktan Eğitim Platformları Popülaritesini Koruyor,Eğitim,Sabah,2024,COVID-19 sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir. Türkiye'de çevrimiçi eğitim platformlarının kullanıcı sayısı geçen yıla kıyasla yüzde 40 arttı. Şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi.
TR025,Okul Öncesi Eğitime Erişim Artıyor,Eğitim,Milliyet,2024,Milli Eğitim Bakanlığı raporuna göre okul öncesi eğitime erişim oranı Türkiye genelinde yüzde 78'e yükseldi. Kırsal bölgelerde ise bu oran yüzde 60 düzeyinde seyrediyor. Hedef 2025 yılı itibarıyla okullaşma oranını yüzde 90'a çıkarmak.
TR026,Meclis'te Bütçe Görüşmeleri Başladı,Siyaset,Hurriyet,2023,Türkiye Büyük Millet Meclisi'nde 2024 yılı merkezi yönetim bütçesi görüşmeleri bugün başladı. Muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme ve istikrar vurgusunu ön plana çıkardı. Görüşmelerin iki hafta sürmesi bekleniyor.
TR027,Cumhurbaşkanı Afrika Ziyaretinden Döndü,Siyaset,Sabah,2024,"Cumhurbaşkanı, dört günlük Afrika turu kapsamında Etiyopya Nijerya ve Tanzanya'yı ziyaret etti. İkili ilişkiler ve ticaret anlaşmaları gündemin merkezini oluşturdu. Ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı."
TR028,Yeni Seçim Kanunu Teklifine İlişkin Tartışmalar Sürüyor,Siyaset,Milliyet,2024,Mecliste gündemde yer alan seçim kanunu değişiklik teklifine ilişkin tartışmalar aralıksız devam ediyor. Muhalefet partileri teklifin demokratik değerlere aykırı olduğunu öne sürüyor. İktidar ise yeni düzenlemelerin şeffaflığı artıracağını savunuyor.
TR029,AB Üyelik Müzakereleri Yeniden Gündemde,Siyaset,Hurriyet,2024,Avrupa Birliği ile sürdürülen üyelik müzakerelerinin yeniden aktive edilmesine yönelik diplomatik temaslara hız kazandırıldı. Dışişleri Bakanı Brüksel'deki kritik görüşmeler için hazırlıkların sürdüğünü açıkladı. Gözlemciler bu sürecin son derece uzun soluklu ve karmaşık olduğuna dikkat çekiyor.
TR030,Yerel Seçimler İçin Aday Listeleri Belirleniyor,Siyaset,Sabah,2024,Siyasi partiler Mart ayında yapılacak yerel seçimler için büyükşehir belediye başkanı adaylarını belirleme sürecine girdi. İstanbul Ankara ve İzmir büyükşehirleri özelinde yoğun bir kamuoyu beklentisi bulunuyor. Anketler kritik illerde olası sonuçlara ilişkin farklı tablolar ortaya koyuyor.
TR031,İstanbul Film Festivali Başlıyor,Kültür,Milliyet,2024,43. İstanbul Uluslararası Film Festivali bu akşam açılış töreniyle başladı. Bu yıl 70 ülkeden 200'ü aşkın film gösterime girecek. Festival kapsamında Türk yönetmenlere özel bir bölüm de yer alıyor.
TR032,Türk Dizileri Dünyayı Fethediyor,Kültür,Hurriyet,2024,Netflix ve Amazon Prime platformlarında yayımlanan Türk dizileri uluslararası izleyicilerin büyük beğenisini kazanıyor. Bazı yapımlar 150'yi aşkın ülkeye ihraç ediliyor. Türk dizi ihracatının bu yıl 1 milyar doları geçmesi öngörülüyor.
TR033,Türk Mutfağı UNESCO Listesine Girmeyi Hedefliyor,Kültür,Sabah,2024,"Türkiye, geleneksel mutfak kültürünü UNESCO Somut Olmayan Kültürel Miras listesine taşımak amacıyla resmi başvuruyu tamamladı. Türk kahvesi ve bazlama zaten listede yer alıyor. Yeni başvuru kapsamında çorba kültürü ile zeytinyağlı yemekler öne çıkarılıyor."
TR034,Kütüphane Sayısı Artıyor Okuma Alışkanlığı Azalıyor,Kültür,Milliyet,2023,Türkiye Kütüphaneler ve Yayımlar Genel Müdürlüğü raporuna göre ülkedeki kütüphane sayısı 2.000'i aşmış durumda. Ancak okuma alışkanlığına ilişkin araştırmalar dijitalleşme süreciyle birlikte kitap okuma süresinin gerilediğine işaret ediyor. Uzmanlar bu durumun uzun vadede ciddi sonuçlar doğurabileceği uyarısında bulunuyor.
TR035,Türk Sanatçılar Uluslararası Arenada Başarı Kazanıyor,Kültür,Hurriyet,2024,Türk plastik sanatçılar ve müzisyenler uluslararası ödül törenlerinde göz dolduran başarılar sergilemeye devam ediyor. Bir Türk ressam bu yıl Venedik Bienali'nde büyük ödülün sahibi oldu. Uluslararası galerilerdeki Türk sanatçı sayısı da her geçen yıl artıyor.
TR036,Ukrayna-Rusya Çatışmasında Son Durum,Dünya,Sabah,2024,Ukrayna ve Rusya arasındaki silahlı çatışma iki yılı aşkın bir süredir devam ediyor. BM Güvenlik Konseyi'nde acil toplantı gerçekleştirildi. Türkiye arabuluculuk rolünü sürdürmeye devam ediyor.
TR037,G20 Zirvesinde İklim Krizi Masaya Yatırıldı,Dünya,Milliyet,2024,Brezilya'da gerçekleştirilen G20 Zirvesi'nde liderler iklim değişikliği gündemiyle uzun soluklu müzakereler yürüttü. Gelişmekte olan ülkeler daha fazla finansman talep ederken gelişmiş ülkeler mevcut taahhütlerini yerine getirmeye odaklanıyor. Türkiye yenilenebilir enerji hedeflerini zirveye taşıdı.
TR038,Ortadoğu'da Barış Görüşmeleri Başladı,Dünya,Hurriyet,2024,ABD arabuluculuğunda gerçekleştirilen görüşmelerde İsrail ve Filistin yetkilileri ateşkes koşullarını masaya yatırdı. BM Genel Sekreteri kalıcı bir çözüm için zaman kaybetmeden harekete geçilmesi çağrısında bulundu. Türkiye insani yardım koridorlarının açılması için yoğun diplomatik trafik yürütüyor.
TR039,Dünya Ekonomisinde Resesyon Sinyalleri,Dünya,Sabah,2024,IMF son raporunda küresel ekonomik büyümenin yavaşladığını ve bazı ülkelerin resesyon riskiyle yüz yüze olduğunu vurguladı. Faiz oranlarının yüksek seyretmesi tüketimi olumsuz etkiliyor. Türkiye enflasyonla mücadele politikasını kararlılıkla sürdürüyor.
TR040,COP29 İklim Zirvesine Doğru,Dünya,Milliyet,2024,Azerbaycan'ın Bakü kentinde düzenlenecek COP29 İklim Zirvesi hazırlıkları hız kazandı. 200'ü aşkın ülkeden binlerce delege zirveye katılacak. Uzmanlar en önemli gündemin fosil yakıt kullanımını azaltmaya yönelik bağlayıcı taahhütler olduğunu vurguluyor.
