Makale_ID,Baslik,Kategori,Kaynak,Yil,Temizlenmis_Icerik,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Lemmatized_Tokenlar
TR011,Türk Yapay Zeka Girişimi Dünya Devleriyle Yarışıyor,Teknoloji,Hurriyet,2024,İstanbul merkezli yapay zeka şirketi geliştirdiği dil modeliyle uluslararası arenada büyük ilgi görüyor Şirket son altı ayda milyon dolar yatırım aldı Kurucu ortaklar Türkiye nin teknoloji üssüne dönüşeceğini öngörüyor,"İstanbul merkezli yapay zeka şirketi, geliştirdiği dil modeliyle uluslararası arenada büyük ilgi görüyor. | Şirket son altı ayda 50 milyon dolar yatırım aldı. | Kurucu ortaklar, Türkiye'nin teknoloji üssüne dönüşeceğini öngörüyor.",29,istanbul merkezli yapay zeka şirketi geliştirdiği dil modeliyle uluslararası arenada ilgi görüyor şirket son altı ayda milyon dolar yatırım aldı kurucu ortaklar türkiye teknoloji üssüne dönüşeceğini öngörüyor,istanbul merkezli yapay zeka şirke geliştirdiği dil modeliyle uluslararası arena ilgi gör şirket son altı ayda milyon dolar yatırım aldı kuru ortak türkiye teknoloji üssü dönüşeceğini öngör
TR012,Akıllı Telefon Kullanımı Türkiye'de Zirveye Ulaştı,Teknoloji,Sabah,2024,TÜBİTAK araştırmasına göre Türkiye de akıllı telefon kullanıcısı sayısı milyona ulaştı Gençler günde ortalama saat ekran başında zaman geçiriyor Uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor,TÜBİTAK araştırmasına göre Türkiye'de akıllı telefon kullanıcısı sayısı 70 milyona ulaştı. | Gençler günde ortalama 6 saat ekran başında zaman geçiriyor. | Uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor.,28,tübitak araştırmasına türkiye akıllı telefon kullanıcısı sayısı milyona ulaştı gençler günde ortalama saat ekran başında zaman geçiriyor uzmanlar aşırı ekran süresinin sağlık üzerindeki olumsuz etkilerini vurguluyor,tübitak araştırması türkiye akıllı telefon kullanıcısı sayısı milyo ulaş genç gün ortalama saat ekran başı zaman geçir uzman aşırı ekran süresi sağ üzerin olumsuz etkilerini vurgul
TR013,TOGG Üretimde Yeni Hedefler Belirledi,Teknoloji,Milliyet,2024,Türkiye nin yerli otomobili TOGG yılı için üretim hedefini araç olarak belirledi Fabrika kapasitesini artırmak için yeni yatırımlar yapılıyor Yurt dışı satışlar için Avrupa pazarına giriş planları da hazırlandı,"Türkiye'nin yerli otomobili TOGG, 2024 yılı için üretim hedefini 30.000 araç olarak belirledi. | Fabrika kapasitesini artırmak için yeni yatırımlar yapılıyor. | Yurt dışı satışlar için Avrupa pazarına giriş planları da hazırlandı.",29,türkiye yerli otomobili togg yılı üretim hedefini araç belirledi fabrika kapasitesini artırmak yatırımlar yapılıyor yurt dışı satışlar avrupa pazarına giriş planları hazırlandı,türkiye yerli otomobili togg yılı üretim hedefini araç belirle fabrika kapasitesini artır yatırım yapıl yurt dışı satış avrupa pazarı giriş plan hazırlan
TR014,Siber Güvenlikte Türk Firmalar Öne Çıkıyor,Teknoloji,Hurriyet,2024,Türk siber güvenlik şirketleri uluslararası pazarda güçlü bir yer edindi NATO güvenlik testlerinde Türk yazılımları üst sıralarda yer aldı Savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor,Türk siber güvenlik şirketleri uluslararası pazarda güçlü bir yer edindi. | NATO güvenlik testlerinde Türk yazılımları üst sıralarda yer aldı. | Savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor.,26,türk siber güvenlik şirketleri uluslararası pazarda güçlü yer edindi nato güvenlik testlerinde türk yazılımları üst sıralarda yer aldı savunma sanayii entegrasyonu sayesinde sektör hızla büyüyor,türk siber güven şirket uluslararası pazar güçlü yer edin nato güven testleri türk yazılım üst sıra yer aldı savunma sanayii entegrasyonu sayesi sektör hızla büy
TR015,5G Altyapısı Büyük Şehirlere Yayılıyor,Teknoloji,Sabah,2024,Bilgi Teknolojileri ve İletişim Kurumu açıklamasına göre G teknolojisi bu yıl sonuna kadar Ankara İstanbul ve İzmir de hayata geçirilecek Türk Telekom ve Turkcell frekans tahsisi için rekabet ediyor Uzmanlar G nin ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor,"Bilgi Teknolojileri ve İletişim Kurumu açıklamasına göre 5G teknolojisi bu yıl sonuna kadar Ankara, İstanbul ve İzmir'de hayata geçirilecek. | Türk Telekom ve Turkcell frekans tahsisi için rekabet ediyor. | Uzmanlar 5G'nin ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor.",37,bilgi teknolojileri iletişim kurumu açıklamasına teknolojisi yıl sonuna ankara istanbul izmir hayata geçirilecek türk telekom turkcell frekans tahsisi rekabet ediyor uzmanlar ekonomiye katkısının milyarlarca dolar olacağını tahmin ediyor,bilgi teknoloji iletişim kurumu açıklaması teknolojisi yıl sonu ankara istanbul izmir haya geçiril türk telekom turkcell frekans tahsisi rekabet edi uzman ekonomiye katkısı milyarlarca dolar olacağını tahm edi
TR016,Sağlık Bakanlığı Yeni Kampanya Başlattı,Sağlık,Milliyet,2024,Türkiye Sağlık Bakanlığı sigara kullanımını azaltmak amacıyla kapsamlı bir farkındalık kampanyası başlattı Kampanya sosyal medya televizyon ve açık hava reklamlarını kapsıyor Hedef üç yılda sigara kullanımını yüzde düşürmek,"Türkiye Sağlık Bakanlığı, sigara kullanımını azaltmak amacıyla kapsamlı bir farkındalık kampanyası başlattı. | Kampanya sosyal medya, televizyon ve açık hava reklamlarını kapsıyor. | Hedef üç yılda sigara kullanımını yüzde 20 düşürmek.",28,türkiye sağlık bakanlığı sigara kullanımını azaltmak amacıyla kapsamlı farkındalık kampanyası başlattı kampanya sosyal medya televizyon açık hava reklamlarını kapsıyor hedef yılda sigara kullanımını yüzde düşürmek,türkiye sağ bakanlığı sigara kullanımını azalt amacıyla kapsamlı farkında kampanyası başlat kampanya sosyal medya televizyon açık hava reklamlarını kaps hedef yıl sigara kullanımını yüz düşür
TR017,Grip Salgını Tüm Türkiye'yi Etkiliyor,Sağlık,Hurriyet,2024,Kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı Sağlık Bakanlığı özellikle çocuklar ve yaşlılar için aşı yaptırılmasını tavsiye etti Yoğun bakım kapasitesi bazı şehirlerde zorlansa da durum kontrol altında,"Kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı. | Sağlık Bakanlığı, özellikle çocuklar ve yaşlılar için aşı yaptırılmasını tavsiye etti. | Yoğun bakım kapasitesi bazı şehirlerde zorlansa da durum kontrol altında.",30,kış mevsiminin gelmesiyle birlikte grip vakalarında ciddi artış yaşandı sağlık bakanlığı özellikle çocuklar yaşlılar aşı yaptırılmasını tavsiye etti yoğun bakım kapasitesi şehirlerde zorlansa durum kontrol,kış mevsimi gelmesiyle birlik grip vakaları cid artış yaşan sağ bakanlığı özellikle çocuk yaşlı aşı yaptırılmasını tavsiye etti yoğ bakım kapasitesi şehir zorlansa durum kontrol
TR018,Türkiye Kanser Araştırmasında Önemli Adım Attı,Sağlık,Sabah,2024,Hacettepe Üniversitesi araştırmacıları akciğer kanseri tedavisinde etkili yeni bir molekül keşfetti Çalışma uluslararası tıp dergisinde yayımlandı ve dünyadan büyük ilgi gördü Klinik denemeler önümüzdeki yıl başlayacak,"Hacettepe Üniversitesi araştırmacıları, akciğer kanseri tedavisinde etkili yeni bir molekül keşfetti. | Çalışma uluslararası tıp dergisinde yayımlandı ve dünyadan büyük ilgi gördü. | Klinik denemeler önümüzdeki yıl başlayacak.",26,hacettepe üniversitesi araştırmacıları akciğer kanseri tedavisinde etkili molekül keşfetti çalışma uluslararası tıp dergisinde yayımlandı dünyadan ilgi gördü klinik denemeler önümüzdeki yıl başlayacak,hacettepe üniversitesi araştırmacı akciğer kanseri tedavisi etkili molekül keşfet çalışma uluslararası tıp dergisi yayımlan dünya ilgi gör klinik deneme önümüz yıl başlay
TR019,Doktor Açığı Kırsal Bölgeleri Etkiliyor,Sağlık,Milliyet,2023,Türkiye de kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor Hekimlerin büyük şehirleri tercih etmesi bu sorunu derinleştiriyor Sağlık Bakanlığı mecburi hizmet süresini uzatmayı planlıyor,"Türkiye'de kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor. | Hekimlerin büyük şehirleri tercih etmesi bu sorunu derinleştiriyor. | Sağlık Bakanlığı, mecburi hizmet süresini uzatmayı planlıyor.",27,türkiye kırsal bölgelerde yaşayan vatandaşlar sağlık hizmetlerine erişimde ciddi güçlük çekiyor hekimlerin şehirleri tercih etmesi sorunu derinleştiriyor sağlık bakanlığı mecburi hizmet süresini uzatmayı planlıyor,türkiye kırsal bölge yaşayan vatandaş sağ hizmetleri erişim cid güç çek hekim şehir tercih etmesi sorunu derinleştir sağ bakanlığı mecburi hizmet süresini uzatmayı planl
TR020,Obezite Oranları Endişe Verici Boyuta Ulaştı,Sağlık,Hurriyet,2024,Dünya Sağlık Örgütü raporuna göre Türkiye de obezite oranı son on yılda yüzde arttı Özellikle çocuk obezitesi ciddi bir halk sağlığı sorunu olarak öne çıkıyor Uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor,Dünya Sağlık Örgütü raporuna göre Türkiye'de obezite oranı son on yılda yüzde 35 arttı. | Özellikle çocuk obezitesi ciddi bir halk sağlığı sorunu olarak öne çıkıyor. | Uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor.,32,dünya sağlık örgütü raporuna türkiye obezite oranı son yılda yüzde arttı özellikle çocuk obezitesi ciddi halk sağlığı sorunu öne çıkıyor uzmanlar sağlıklı beslenme alışkanlıklarının teşvik edilmesini öneriyor,dünya sağ örgü raporu türkiye obezi oranı son yıl yüz art özellikle çocuk obezitesi cid halk sağlığı sorunu öne çık uzman sağlıklı beslenme alışkanlıkları teşvik edilmesini öner
TR021,YKS Başvuruları Başladı,Eğitim,Sabah,2024,Ölçme Seçme ve Yerleştirme Merkezi duyurusuna göre bu yıl Yükseköğretim Kurumları Sınavı için başvurular başladı milyonu aşkın öğrencinin sınava girmesi bekleniyor ÖSYM yetkilileri sınav tarihlerini ve yerlerini açıkladı,Ölçme Seçme ve Yerleştirme Merkezi duyurusuna göre bu yıl Yükseköğretim Kurumları Sınavı için başvurular başladı. | 3 milyonu aşkın öğrencinin sınava girmesi bekleniyor. | ÖSYM yetkilileri sınav tarihlerini ve yerlerini açıkladı.,28,ölçme seçme yerleştirme merkezi duyurusuna yıl yükseköğretim kurumları sınavı başvurular başladı milyonu aşkın öğrencinin sınava girmesi bekleniyor ösym yetkilileri sınav tarihlerini yerlerini açıkladı,ölçme seçme yerleştirme merkezi duyurusu yıl yükseköğretim kurum sınavı başvuru başla milyonu aşk öğrenci sınava girmesi beklen ösym yetkili sınav tarihlerini yerlerini açıkla
TR022,Türkiye'de Üniversite Sayısı 220'yi Geçti,Eğitim,Milliyet,2023,Yükseköğretim Kurulu verilerine göre Türkiye de devlet ve vakıf üniversitelerinin toplam sayısı yi aştı Bu rakamla Türkiye Avrupa da en fazla üniversiteye sahip ülkeler arasına girdi Öğrenci kapasitesi de her geçen yıl artıyor,"Yükseköğretim Kurulu verilerine göre Türkiye'de devlet ve vakıf üniversitelerinin toplam sayısı 220'yi aştı. | Bu rakamla Türkiye, Avrupa'da en fazla üniversiteye sahip ülkeler arasına girdi. | Öğrenci kapasitesi de her geçen yıl artıyor.",33,yükseköğretim kurulu verilerine türkiye devlet vakıf üniversitelerinin toplam sayısı aştı rakamla türkiye avrupa fazla üniversiteye sahip ülkeler arasına girdi öğrenci kapasitesi yıl artıyor,yükseköğretim kurulu verileri türkiye devlet vakıf üniversiteleri toplam sayısı aştı rakamla türkiye avrupa fazla üniversiteye sahip ülke arası gir öğren kapasitesi yıl art
TR023,STEM Eğitimine Yatırım Artıyor,Eğitim,Hurriyet,2024,Milli Eğitim Bakanlığı fen bilimleri matematik mühendislik ve teknoloji alanlarında eğitimi güçlendirmek için milyar liralık bütçe ayırdı Yeni laboratuvar ve teknoloji sınıfları kurulacak Hedef a kadar nitelikli STEM mezunu yetiştirmek,"Milli Eğitim Bakanlığı, fen bilimleri matematik mühendislik ve teknoloji alanlarında eğitimi güçlendirmek için 5 milyar liralık bütçe ayırdı. | Yeni laboratuvar ve teknoloji sınıfları kurulacak. | Hedef, 2030'a kadar 500.000 nitelikli STEM mezunu yetiştirmek.",29,milli eğitim bakanlığı fen bilimleri matematik mühendislik teknoloji alanlarında eğitimi güçlendirmek milyar liralık bütçe ayırdı laboratuvar teknoloji sınıfları kurulacak hedef nitelikli stem mezunu yetiştirmek,milli eğitim bakanlığı fen bilim matematik mühendis teknoloji alanları eğitimi güçlendir milyar lira bütçe ayır laboratuvar teknoloji sınıf kurul hedef nitelikli stem mezunu yetiştir
TR024,Uzaktan Eğitim Platformları Popülaritesini Koruyor,Eğitim,Sabah,2024,COVID sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir Türkiye de çevrimiçi eğitim platformlarının kullanıcı sayısı geçen yıla kıyasla yüzde arttı Şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi,COVID-19 sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir. | Türkiye'de çevrimiçi eğitim platformlarının kullanıcı sayısı geçen yıla kıyasla yüzde 40 arttı. | Şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi.,26,covıd sonrası dönemde başlayan uzaktan eğitim alışkanlığı sürmektedir türkiye çevrimiçi eğitim platformlarının kullanıcı sayısı yıla kıyasla yüzde arttı şirketler çalışanlarını dijital araçlarla yetiştirmeye yöneldi,covıd sonrası dönem başlayan uzak eğitim alışkanlığı sürmektedir türkiye çevrimi eğitim platformları kullanı sayısı yıla kıyasla yüz art şirket çalışanlarını dijital araç yetiştirmeye yönel
TR025,Okul Öncesi Eğitime Erişim Artıyor,Eğitim,Milliyet,2024,Milli Eğitim Bakanlığı raporuna göre okul öncesi eğitime erişim oranı Türkiye genelinde yüzde e yükseldi Kırsal bölgelerde ise bu oran yüzde düzeyinde seyrediyor Hedef yılı itibarıyla okullaşma oranını yüzde a çıkarmak,Milli Eğitim Bakanlığı raporuna göre okul öncesi eğitime erişim oranı Türkiye genelinde yüzde 78'e yükseldi. | Kırsal bölgelerde ise bu oran yüzde 60 düzeyinde seyrediyor. | Hedef 2025 yılı itibarıyla okullaşma oranını yüzde 90'a çıkarmak.,29,milli eğitim bakanlığı raporuna okul öncesi eğitime erişim oranı türkiye genelinde yüzde yükseldi kırsal bölgelerde oran yüzde düzeyinde seyrediyor hedef yılı itibarıyla okullaşma oranını yüzde çıkarmak,milli eğitim bakanlığı raporu okul öncesi eğitime erişim oranı türkiye geneli yüz yüksel kırsal bölge oran yüz düzeyi seyred hedef yılı itibarıyla okullaşma oranını yüz çıkar
TR026,Meclis'te Bütçe Görüşmeleri Başladı,Siyaset,Hurriyet,2023,Türkiye Büyük Millet Meclisi nde yılı merkezi yönetim bütçesi görüşmeleri bugün başladı Muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme ve istikrar vurgusunu ön plana çıkardı Görüşmelerin iki hafta sürmesi bekleniyor,Türkiye Büyük Millet Meclisi'nde 2024 yılı merkezi yönetim bütçesi görüşmeleri bugün başladı. | Muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme ve istikrar vurgusunu ön plana çıkardı. | Görüşmelerin iki hafta sürmesi bekleniyor.,32,türkiye millet meclisi nde yılı merkezi yönetim bütçesi görüşmeleri bugün başladı muhalefet partileri bütçenin gerçekçi olmadığını savunurken iktidar partisi büyüme istikrar vurgusunu plana çıkardı görüşmelerin iki hafta sürmesi bekleniyor,türkiye millet meclisi nde yılı merkezi yönetim bütçesi görüşme bug başla muhalefet parti bütçe gerçek olmadığını savunurken iktidar partisi büyüme istikrar vurgusunu pla çıkar görüşme iki haf sürmesi beklen
TR027,Cumhurbaşkanı Afrika Ziyaretinden Döndü,Siyaset,Sabah,2024,Cumhurbaşkanı dört günlük Afrika turu kapsamında Etiyopya Nijerya ve Tanzanya yı ziyaret etti İkili ilişkiler ve ticaret anlaşmaları gündemin merkezini oluşturdu Ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı,"Cumhurbaşkanı, dört günlük Afrika turu kapsamında Etiyopya Nijerya ve Tanzanya'yı ziyaret etti. | İkili ilişkiler ve ticaret anlaşmaları gündemin merkezini oluşturdu. | Ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı.",27,cumhurbaşkanı dört günlük afrika turu kapsamında etiyopya nijerya tanzanya ziyaret etti ikili ilişkiler ticaret anlaşmaları gündemin merkezini oluşturdu ziyaret kapsamında çeşitli mutabakat muhtıraları imzalandı,cumhurbaşkanı dört gün afrika turu kapsamı etiyopya nijerya tanzanya ziyaret etti ikili ilişki ticaret anlaşma gündem merkezini oluştur ziyaret kapsamı çeşitli mutabakat muhtıra imzalan
