document_id,content
doc026,Robot kol eklem hareket sınırı aşıldı. Altıncı eksen açısal limit değerini geçti ve acil durdurma aktif oldu.
doc027,Santrifüj pompa kavitasyon uyarısı. Giriş basıncı çok düşük ve pompa içinde baloncuk oluşumu başladı.
doc028,Hava soğutmalı chiller devre dışı kaldı. Soğutucu akışkan seviyesi düşük ve sızdırmazlık testi başarısız.
doc029,Talaş makinesi takım kırılma algılama hatası. Kesici takım ömrü doldu ve yüzey pürüzlülüğü tolerans dışına çıktı.
doc030,Vidalı kompresör yağ ayırıcı tıkanma hatası. Diferansiyel basınç sensörü limitin üzerinde değer gösteriyor.
doc031,Elektrik panosu aşırı ısı alarmı. Soğutma fanı arızalı ve kabin iç sıcaklığı kırk beş derece üzerine çıktı.
doc032,Hassas terazide kalibrasyon hatası. Loadcell sinyali sürükleniyor ve ölçüm tekrarlanabilirliği bozulmuş.
doc033,Dolum makinesi hacim ölçüm sapması. Akış ölçer sensörü kirli ve gerçek dolum miktarı hedef değerden sapıyor.
doc034,Tünel pastörizatör sıcaklık homojenliği bozulması. Orta bölge ısıtıcıları yetersiz çalışıyor ve ürün sıcaklık dağılımı eşit değil.
doc035,Rulman aşınma izleme sistemi uyarısı. Titreşim spektrumunda rulman hasarına özgü frekans bileşenleri tespit edildi.
doc036,Kesintisiz güç kaynağı batarya düşük kapasitesi uyarısı. Batarya hücreleri yaşlandı ve şarj kapasitesi nominal değerin altına indi.
doc037,Frekans invertörü motor parametresi uyumsuzluğu. Motor nominal değerleri inverter programlamasıyla eşleşmiyor.
doc038,Paletleme robotu emiş kupası basınç kaybı. Vakum jeneratörü arızalı ve ürün kavrama sırasında düşme olayı yaşandı.
doc039,Su arıtma sistemi membran tıkanma hatası. Ters osmoz membranı kirlendi ve geçirgenlik katsayısı düştü.
doc040,Vinç taşıma yük aşımı alarmı. Yük hücresi nominal kapasiteden fazla değer ölçtü ve kaldırma hareketi bloke edildi.
doc041,Motor fırça aşınma uyarısı. Kolektör yüzeyi pürüzlendi ve fırça teması düzensizleşti.
doc042,Batarya şarj kontrol ünitesi hata kodu. Şarj akımı aşımı tespit edildi ve koruma devresi aktive oldu.
doc043,Gaz dedektörü alarm seviyesi aşımı. Ortamda hidrojen sülfür konsantrasyonu eşik değerini geçti.
doc044,Basınçlı hava kurutucusu çiğlenme noktası sapması. Adsorban doyuma ulaştı ve çıkış havası nemi yükseldi.
doc045,Lazer kesim makinesi odak noktası kayması. Lens kirliliği nedeniyle kesim kalitesi bozuldu ve malzeme yanma izi arttı.
doc046,Otoklav sterilizasyon döngüsü tamamlanamadı. Kapak sızdırmazlığı yetersiz ve basınç tutma süresi dolmadan düştü.
doc047,Soğutma suyu iletkenlik yüksek alarm. Sistemde mineral birikimi arttı ve borular korozyon riski altında.
doc048,Pres makinesinin alt ölü nokta ayarı kaymış. Koç pozisyonu enkoderi hatalı değer veriyor ve ürün boyutu tolerans dışında.
doc049,Doldurma istasyonu kütlesel akış ölçer sıfır kayması. Ölçüm doğruluğu bozuldu ve dolum ağırlığı tekrarlanabilirliği azaldı.
doc050,Ekstrüder vida hızı kararsızlığı. Tahrik motoru moment dalgalanması yaşıyor ve ürün kalınlığı tutarsız çıkıyor.
doc051,Döner fırın tahrik dişlisi aşınma alarmı. Dişli boşluğu artmış ve titreşim ölçüm değerleri normale göre iki kat yüksek.
doc052,Numune alma sistemi valf sıkışması hatası. Pnömatik aktüatör hava kaçağı nedeniyle tam konuma gelemiyor.
doc053,Elektrostatik boya tabancası yüksek voltaj hatası. Yüksek gerilim üreteci arızalı ve atomizasyon kalitesi bozuldu.
doc054,Hareket kontrol sistemi takip hatası aşımı. Profil oluşturucu ile servo sürücü arasında senkronizasyon bozulmuş.
doc055,Santrifüj seperatör dengesizlik alarmı. Rotor içinde malzeme dağılımı bozulmuş ve titreşim ivme değerleri kritik.
doc056,Soğuk şekillendirme pres yağ sıcaklık yüksek hatası. Soğutma devresi kapasitesi yetersiz ve yağ viskozitesi düşüyor.
doc057,Enerji analizör ölçüm hatası. Akım trafosu bağlantısı gevşemiş ve güç faktörü ölçümü gerçek değeri yansıtmıyor.
doc058,Yazıcı kafa temizleme sistemi tıkanma alarmı. Mürekkep besleme hattında hava balonu oluştu ve baskı kalitesi bozuldu.
doc059,Pnömatik tornavida tork sensörü kalibrasyonu bozulmuş. Ölçüm değerleri referans değerinden sapıyor ve sıkma torku yetersiz.
doc060,Çelik ısıl işlem fırını atmosfer kontrolü arızası. Koruyucu gaz akışı kesildi ve parça yüzeyi oksitlenme riski altında.
doc061,Yüksek basınç su jeti pompası salmastra sızıntısı. Salmastra grubu aşındı ve pompa verimi düştü.
doc062,Karıştırıcı tahrik dişli kutusu titreşim alarmı. Helisel dişlilerde pitting hasarı başladı ve gürültü seviyesi arttı.
doc063,Enerji depolama sistemi hücre voltaj dengesizliği. Bazı hücreler diğerlerinden hızlı deşarj oluyor ve BMS alarm üretiyor.
doc064,Plastik enjeksiyon kalıp sıcaklık düzensizliği. Su kanalları tıkalı ve kalıp içi sıcaklık dağılımı homojen değil.
doc065,Taşlama tezgahı taş dengeleme hatası. Taşlama diski dinamik dengesizlik gösteriyor ve iş mili titreşimi artıyor.
doc066,Ultrasonik temizleme cihazı frekans kayması. Transdüser bağlantısı gevşemiş ve kavitasyon yoğunluğu yetersiz.
doc067,Akıllı vana aktüatör iletişim hatası. HART protokolü üzerinden cihaza ulaşılamıyor ve manuel müdahale gerekiyor.
doc068,Hava kompresörü emme filtresi tıkanma uyarısı. Diferansiyel basınç değeri bakım eşiğini aştı ve kompresör verimi düşüyor.
doc069,Manyetik separatör güç kaynağı arızası. Elektromıknatıs sargısı kısa devre yaptı ve ayırma verimliliği sıfıra indi.
doc070,Plastik film sarım makinesi gerilim kontrolü hatası. Dans silindiri pozisyon sensörü arızalı ve bant gerilimi dalgalanıyor.
doc071,Buharlı jeneratör yakıt enjeksiyon valfi sıkışması. Enjektör memesi kirli ve yanma oranı optimum değerin altında.
doc072,Elektronik pano nem sensörü alarm eşiği aşımı. Yoğuşma riski oluştu ve kritik bileşenler nem hasarı görebilir.
doc073,Otomatik yağlama sistemi pompa basınç düşüklüğü. Merkezi yağlama hattında tıkanma var ve bazı yağlama noktaları yetersiz yağ alıyor.
doc074,Plazma kesim ünitesi plazma gazı basınç hatası. Gaz regülatörü arızalı ve kesim arkı istikrarsız yanıyor.
doc075,Hassas ısıl işlem fırını atmosfer nem kontrolü sapması. Çiğlenme noktası sensörü kirli ve nem değerleri hatalı ölçülüyor.
doc076,Yüksek hızlı paketleme makinesi senkronizasyon hatası. Kamera sistemi ürün pozisyonunu yanlış algılıyor ve paket kaçakları oluyor.
doc077,Soğutma sisteminde soğutucu gaz sızdırma alarmı. Sızdırmazlık kaybı nedeniyle soğutma kapasitesi belirgin şekilde düştü.
doc078,Çift vidalı ekstrüder melting zone sıcaklık aşımı. Vida sürtünme ısısı dengeleme sistemi tarafından giderilemiyor.
doc079,Hassas enjeksiyon dozaj sistemi tıkanma hatası. Pompa elemanları aşındı ve debi tekrarlanabilirliği bozulmuş.
doc080,Şebeke bağlantılı invertör izolasyon direnci düşük alarmı. DC bara ile toprak arasında direnç değeri minimum limitin altına indi.
