document_id,content
doc041,motor fırça aşınmak uyarı kolektör yüzey pürüz fırça temas düzen
doc042,batarya şarj kontrol ünite hata kod şarj ak aşım tespit etmek koru devre aktive olmak
doc043,gaz dedektör alarm seviye aşım orta hidrojen sülfür konsantrasyon eşik değer geçmek
doc044,basınç hava kurumak çiğ nokta sapmak adsorban doyum ulaş çıkış hava ne yük
doc045,lazer kesi makine odak nokta kaymak lens kir neden kesi kalite bozmak malzeme yanmak iz artmak
doc046,otoklâv sterilizasyon döngü tamamlamak kapak sızdırmak yeter basınç tutmak süre dolma düşmek
doc047,soğutmak su iletken yük alarm sistem mineral birikim artmak bor korozyon risk alt
doc048,pres makine alt ö nokta ayar kaymak koç pozisyon enkoderi hata değer vermek ürümek boyut tolerans dış
doc049,doldurmak istasyon kütle akmak ölçmek sıfır kaymak ölçüm doğru bozmak dolu ağır tekrar azalmak
doc050,ekstrüder vida hız karar tahrik motor moment dalga yaşamak ürümek kalın tutar çıkmak
doc051,dönmek fır tahrik dişli aşınmak alarm dişli boş artmak titreşim ölçüm değer normal görmek iki kat yük
doc052,numune almak sistem valf sıkışmak hata pnömatik aktüatör hava kaçak neden tam konu gelmek
doc053,elektrostatik boyamak tabanca yük voltaj hata yük geri üreteç arıza atomizasyon kalite bozmak
doc054,hareket kontrol sistem takip hata aşım profil oluşmak servo sürücü aras senkronizasyon bozmak
doc055,santrifüj seperatör denge alarm rotor iç malzeme dağılım bozmak titreşim ivmek değer kritik
doc056,soğuk şekil pres yağ sıcaklık yük hata soğutmak devre kapasite yeter yağ viskozite düşmek
doc057,enerji analizör ölçüm hata ak trafo bağlantı gevşemek güç faktör ölçüm gerçek değer yansımak
doc058,yazmak kafa temizlemek sistem tıkamak alarm mürekkep beslemek hat hava balon olmak baskı kalite bozmak
doc059,pnömatik tornavida tork sensör kalibrasyon bozmak ölçüm değer referans değer sapmak sıkmak tork yeter
doc060,çelik ısıl işlem fır atmosfer kontrol arıza korumak gaz akmak kesmek parça yüzey oksitlemek risk alt
doc061,yük basınç jet pompa salmastra sızıntı salmastra grup aşınmak pompa veri düşmek
doc062,karışmak tahrik dişli kutu titreşim alarm helisel dişli pitting hasar başlamak gürültü seviye artmak
doc063,enerji depolamak sistem hücre voltaj denge hücre diğer hızlı deşarj olmak bms alarm üremek
doc064,plastik enjeksiyon kalmak sıcaklık düzen kanal tıkalı kalmak iç sıcaklık dağılım homojen değmek
doc065,taşlamak tezgâh taşmak dengelemek hata taşlamak disk dinamik denge göstermek mil titreşim artmak
doc066,ultrasonik temizlemek cihaz frekans kaymak transdüser bağlantı gevşemek kavitasyon yoğun yeter
doc067,akıl vana aktüatör iletişim hata hart protokol üzeri cihaz u manuel müdahale gerekmek
doc068,hava kompresör emme filtre tıkamak uyarı diferansiyel basınç değer bakı eşik aşmak kompresör veri düşmek
doc069,manyetik separatör güç kaynak arıza elektromıknatıs sargı kısa devre yapmak ayırmak verim sıfır indî
doc070,plastik film sarı makine geri kontrol hata dans silindir pozisyon sensör arıza bant geri dalga
doc071,buhar jeneratör yakıt enjeksiyon valf sıkışmak enjektör meme kir yanmak ora optimum değer alt
doc072,elektronik pano ne sensör alarm eşik aşım yoğuşmak risk olmak kritik bileşen ne hasar görmek
doc073,otomatik yağlamak sistem pompa basınç düşük merkezî yağlamak hat tıkamak yağlamak nokta yeter yağ almak
doc074,plazma kesi ünite plazma gaz basınç hata gaz regülâtör arıza kesi ark istikrar yanmak
doc075,hassas ısıl işlem fır atmosfer ne kontrol sapmak çiğ nokta sensör kir ne değer hata ölçmek
doc076,yük hızlı paketlemek makine senkronizasyon hata kamera sistem ürümek pozisyon yanlış algılamak paket kaçak olmak
doc077,soğutmak sistem soğutmak gaz sızdırmak alarm sızdırmak kayıp neden soğutmak kapasite belirgin şekil düşmek
doc078,çift vidal ekstrüder melting zone sıcaklık aşım vida sürtünmek ısı dengelemek sistem tarafından gidermek
doc079,hassas enjeksiyon dozaj sistem tıkamak hata pompa eleman aşınmak debi tekrar bozmak
doc080,şebek bağlantı invertör izolâsyon direnç düşük alarm bar toprak aras direnç değer minimum limit alt indî
