document_id,content
doc026,robot kol ekle hareket sınır aşıl altıncı ek açısal limit değer geç acil durdurma aktif ol
doc027,santrifüj pompa kavitasyo uyarıs giriş basıncı düşük pompa iç baloncuk oluş başladı
doc028,hav soğutmal chil devre dış kal soğutuç akışka seviyes düşük sızdırmazlık tes başarıs
doc029,talaş makines tak kırılma algıla hatas kesiç tak ömrü dol yüzey pürüzlülük tolerans dış çık
doc030,vidal kompresör yağ ayırıç tıkanma hatas diferansiyel basınç sensör limit üzer değer gösteriyor
doc031,elektrik panos aşır ıs alarmı soğutma fa arızal kap sıcaklık kırk beş dereç üzer çık
doc032,hassas terazi kalibrasyo hatas loadcell sinyal sürükleniyor ölç tekrarlanabilirlik bozul
doc033,dol makines haç ölç sapmas akış ölçer sensör kirli gerçek dol miktar hedef değer sapıyor
doc034,tünel pastörizatör sıcaklık homojenlik bozulmas or bölge ısıtıcı yetersiz çalışıyor ür sıcaklık dağıl eşit değil
doc035,rulma aşınma izle siste uyarıs titreş spektrum rulma hasar özgü frekans bileşen tespit edil
doc036,kesintis güç kaynak batarya düşük kapasites uyarıs batarya hücre yaşla şarj kapasites nominal değer alt in
doc037,frekans invertör motor parametres uyumsuzluk motor nominal değer inverter programlama eşleşmiyor
doc038,paletle robot emiş kupas basınç kaybı vak jeneratör arızal ür kavra sıra düşme ola yaşa
doc039,arıtma siste membra tıkanma hatas ters osmoz membra kirle geçirgenlik katsayıs düş
doc040,vinç taş yük aş alarmı yük hücres nominal kapasite faz değer ölçtü kaldırma hareket bloke edil
doc041,motor fırça aşınma uyarıs kolektör yüze pürüzle fırça temas düzensizleş
doc042,batarya şarj kontrol ünites ha kodu şarj ak aş tespit edil kor devres aktiv ol
doc043,gaz dedektör alarm seviyes aş orta hidroje sülfür konsantrasyo eşik değer geç
doc044,basınçlı hav kurutucus çiğlenme noktas sapmas adsorba doy ulaş çıkış havas ne yüksel
doc045,lazer kes makines odak noktas kaymas lens kirlilik neden kes kalites bozul malze yanma iz arttı
doc046,otoklav sterilizasyo döngüs tamamlanamadı kapak sızdırmazlık yetersiz basınç tutma süres dolma düş
doc047,soğutma su iletkenlik yük alarm siste mineral birik arttı boru korozyo riski alt
doc048,pres makine alt öl nok ayar ka koç pozisyo enkoder hatal değer veriyor ür boyut tolerans dış
doc049,doldurma istasyo kütlesel akış ölçer sıfır kaymas ölç doğruluk bozul dol ağırlık tekrarlanabilirlik azal
doc050,ekstrüder vida hız kararsızlık tahrik motor moment dalgalanmas yaşıyor ür kalınlık tutarsız çıkıyor
doc051,döner fır tahrik dişlis aşınma alarmı dişli boşluk artmış titreş ölç değer normale gör ik kat yük
doc052,numune alma siste valf sıkışmas hatas pnömatik aktüatör hav kaçak neden tam kon gelemiyor
doc053,elektrostatik bo tabancas yük voltaj hatas yük geril üreteç arızal atomizasyo kalites bozul
doc054,hareket kontrol siste takip hatas aş profil oluşturuç servo sürüç ara senkronizasyo bozul
doc055,santrifüj seperatör dengesizlik alarmı rotor iç malze dağıl bozul titreş ivme değer kritik
doc056,soğuk şekillendirme pres yağ sıcaklık yük hatas soğutma devres kapasites yetersiz yağ viskozites düşüyor
doc057,enerji analizör ölç hatas ak trafos bağlantıs gevşemiş güç faktör ölç gerçek değer yansıtmıyor
doc058,yazıç kaf temizle siste tıkanma alarmı mürekkep besle hatt hav balo oluş baskı kalites bozul
doc059,pnömatik tornavi tork sensör kalibrasyo bozul ölç değer referans değer sapıyor sıkma torku yetersiz
doc060,çelik ısıl işle fır atmosfer kontrolü arızas koruyuç gaz akış kesil parça yüze oksitlenme riski alt
doc061,yük basınç jet pompas salmastra sızıntıs salmastra grup aş pompa ver düş
doc062,karıştırıç tahrik dişli kutus titreş alarmı helisel dişli pittingi hasar başladı gürül seviyes arttı
doc063,enerji depola siste hücre voltaj dengesizlik hücre diğer hızlı deşarj oluyor bms alarm üretiyor
doc064,plastik enjeksiyo kalıp sıcaklık düzensizlik kanal tıkal kalıp iç sıcaklık dağıl homoje değil
doc065,taşla tezgah taş dengele hatas taşla diski dinamik dengesizlik gösteriyor mil titreş artıyor
doc066,ultrasonik temizle cihaz frekans kaymas transdüser bağlantıs gevşemiş kavitasyo yoğunluk yetersiz
doc067,akıllı va aktüatör iletiş hatas hart protokolü üzer cihaz ulaşılamıyor manuel müdahal gerekiyor
doc068,hav kompresör emme filtres tıkanma uyarıs diferansiyel basınç değer bak eşik aş kompresör ver düşüyor
doc069,manyetik separatör güç kaynak arızas elektromıknatıs sargıs kıs devre yap ayırma verimlilik sıfır in
doc070,plastik film sar makines geril kontrolü hatas dans silindir pozisyo sensör arızal bant geril dalgalanıyor
doc071,buharlı jeneratör yakıt enjeksiyo valfi sıkışmas enjektör memes kirli yanma ora opt değer alt
doc072,elektronik pano nem sensör alarm eşik aş yoğuşma riski oluş kritik bileşen nem hasar görebilir
doc073,otomatik yağla siste pompa basınç düşüklük merkez yağla hatt tıkanma yağla nokta yetersiz yağ alıyor
doc074,plazma kes ünites plazma gaz basınç hatas gaz regülatör arızal kes arkı istikrarsız yanıyor
doc075,hassas ısıl işle fır atmosfer nem kontrolü sapmas çiğlenme noktas sensör kirli nem değer hatal ölçülüyor
doc076,yük hızlı paketle makines senkronizasyo hatas kamer siste ür pozisyon yanlış algılıyor paket kaçak oluyor
doc077,soğutma sistem soğutuç gaz sızdırma alarmı sızdırmazlık kaybı neden soğutma kapasites belirgi şekil düş
doc078,çift vidal ekstrüder meltingi zone sıcaklık aş vida sürtünme ısıs dengele siste taraf giderilemiyor
doc079,hassas enjeksiyo dozaj siste tıkanma hatas pompa eleman aş dep tekrarlanabilirlik bozul
doc080,şebek bağlantıl invertör izolasyo direnci düşük alarmı bar toprak ara direnç değer minim limit alt in
